,electricity,wind_speed
2019-01-01 00:00:00,0.976,15.464
2019-01-01 01:00:00,0.962,14.693
2019-01-01 02:00:00,0.943,13.96
2019-01-01 03:00:00,0.914,13.182
2019-01-01 04:00:00,0.879,12.477
2019-01-01 05:00:00,0.855,12.079
2019-01-01 06:00:00,0.85,12.001
2019-01-01 07:00:00,0.857,12.113
2019-01-01 08:00:00,0.867,12.284
2019-01-01 09:00:00,0.893,12.749
2019-01-01 10:00:00,0.919,13.31
2019-01-01 11:00:00,0.939,13.858
2019-01-01 12:00:00,0.953,14.307
2019-01-01 13:00:00,0.957,14.487
2019-01-01 14:00:00,0.954,14.384
2019-01-01 15:00:00,0.947,14.118
2019-01-01 16:00:00,0.935,13.736
2019-01-01 17:00:00,0.915,13.217
2019-01-01 18:00:00,0.887,12.621
2019-01-01 19:00:00,0.852,12.039
2019-01-01 20:00:00,0.817,11.539
2019-01-01 21:00:00,0.783,11.123
2019-01-01 22:00:00,0.746,10.733
2019-01-01 23:00:00,0.692,10.229
2019-01-02 00:00:00,0.624,9.646
2019-01-02 01:00:00,0.554,9.104
2019-01-02 02:00:00,0.481,8.563
2019-01-02 03:00:00,0.419,8.101
2019-01-02 04:00:00,0.363,7.683
2019-01-02 05:00:00,0.31,7.258
2019-01-02 06:00:00,0.264,6.874
2019-01-02 07:00:00,0.229,6.564
2019-01-02 08:00:00,0.21,6.37
2019-01-02 09:00:00,0.204,6.322
2019-01-02 10:00:00,0.212,6.397
2019-01-02 11:00:00,0.229,6.558
2019-01-02 12:00:00,0.236,6.627
2019-01-02 13:00:00,0.232,6.585
2019-01-02 14:00:00,0.202,6.304
2019-01-02 15:00:00,0.151,5.752
2019-01-02 16:00:00,0.099,5.053
2019-01-02 17:00:00,0.077,4.713
2019-01-02 18:00:00,0.076,4.696
2019-01-02 19:00:00,0.078,4.726
2019-01-02 20:00:00,0.07,4.592
2019-01-02 21:00:00,0.058,4.358
2019-01-02 22:00:00,0.05,4.198
2019-01-02 23:00:00,0.051,4.227
2019-01-03 00:00:00,0.057,4.352
2019-01-03 01:00:00,0.057,4.355
2019-01-03 02:00:00,0.05,4.207
2019-01-03 03:00:00,0.051,4.218
2019-01-03 04:00:00,0.055,4.3
2019-01-03 05:00:00,0.052,4.237
2019-01-03 06:00:00,0.05,4.195
2019-01-03 07:00:00,0.061,4.423
2019-01-03 08:00:00,0.09,4.934
2019-01-03 09:00:00,0.12,5.366
2019-01-03 10:00:00,0.138,5.597
2019-01-03 11:00:00,0.15,5.733
2019-01-03 12:00:00,0.155,5.784
2019-01-03 13:00:00,0.174,6.002
2019-01-03 14:00:00,0.213,6.405
2019-01-03 15:00:00,0.245,6.705
2019-01-03 16:00:00,0.27,6.929
2019-01-03 17:00:00,0.314,7.298
2019-01-03 18:00:00,0.356,7.628
2019-01-03 19:00:00,0.333,7.44
2019-01-03 20:00:00,0.302,7.201
2019-01-03 21:00:00,0.322,7.359
2019-01-03 22:00:00,0.36,7.656
2019-01-03 23:00:00,0.371,7.75
2019-01-04 00:00:00,0.389,7.885
2019-01-04 01:00:00,0.439,8.252
2019-01-04 02:00:00,0.475,8.52
2019-01-04 03:00:00,0.456,8.381
2019-01-04 04:00:00,0.426,8.157
2019-01-04 05:00:00,0.416,8.079
2019-01-04 06:00:00,0.404,7.996
2019-01-04 07:00:00,0.407,8.009
2019-01-04 08:00:00,0.41,8.041
2019-01-04 09:00:00,0.407,8.021
2019-01-04 10:00:00,0.395,7.932
2019-01-04 11:00:00,0.395,7.929
2019-01-04 12:00:00,0.411,8.044
2019-01-04 13:00:00,0.438,8.251
2019-01-04 14:00:00,0.469,8.475
2019-01-04 15:00:00,0.49,8.633
2019-01-04 16:00:00,0.501,8.705
2019-01-04 17:00:00,0.503,8.724
2019-01-04 18:00:00,0.497,8.674
2019-01-04 19:00:00,0.482,8.566
2019-01-04 20:00:00,0.465,8.444
2019-01-04 21:00:00,0.466,8.454
2019-01-04 22:00:00,0.467,8.464
2019-01-04 23:00:00,0.46,8.401
2019-01-05 00:00:00,0.455,8.374
2019-01-05 01:00:00,0.453,8.359
2019-01-05 02:00:00,0.454,8.366
2019-01-05 03:00:00,0.444,8.287
2019-01-05 04:00:00,0.429,8.181
2019-01-05 05:00:00,0.413,8.062
2019-01-05 06:00:00,0.39,7.889
2019-01-05 07:00:00,0.367,7.72
2019-01-05 08:00:00,0.351,7.587
2019-01-05 09:00:00,0.336,7.479
2019-01-05 10:00:00,0.328,7.4
2019-01-05 11:00:00,0.333,7.441
2019-01-05 12:00:00,0.336,7.473
2019-01-05 13:00:00,0.324,7.375
2019-01-05 14:00:00,0.283,7.047
2019-01-05 15:00:00,0.25,6.749
2019-01-05 16:00:00,0.234,6.609
2019-01-05 17:00:00,0.244,6.694
2019-01-05 18:00:00,0.27,6.931
2019-01-05 19:00:00,0.305,7.228
2019-01-05 20:00:00,0.345,7.546
2019-01-05 21:00:00,0.383,7.833
2019-01-05 22:00:00,0.391,7.893
2019-01-05 23:00:00,0.364,7.691
2019-01-06 00:00:00,0.333,7.45
2019-01-06 01:00:00,0.308,7.252
2019-01-06 02:00:00,0.289,7.088
2019-01-06 03:00:00,0.314,7.297
2019-01-06 04:00:00,0.365,7.701
2019-01-06 05:00:00,0.422,8.121
2019-01-06 06:00:00,0.45,8.329
2019-01-06 07:00:00,0.446,8.305
2019-01-06 08:00:00,0.437,8.234
2019-01-06 09:00:00,0.463,8.426
2019-01-06 10:00:00,0.445,8.294
2019-01-06 11:00:00,0.38,7.814
2019-01-06 12:00:00,0.328,7.399
2019-01-06 13:00:00,0.295,7.137
2019-01-06 14:00:00,0.253,6.783
2019-01-06 15:00:00,0.171,5.966
2019-01-06 16:00:00,0.077,4.716
2019-01-06 17:00:00,0.027,3.608
2019-01-06 18:00:00,0.009,2.82
2019-01-06 19:00:00,0.009,2.809
2019-01-06 20:00:00,0.051,4.211
2019-01-06 21:00:00,0.148,5.703
2019-01-06 22:00:00,0.268,6.911
2019-01-06 23:00:00,0.378,7.798
2019-01-07 00:00:00,0.475,8.519
2019-01-07 01:00:00,0.598,9.439
2019-01-07 02:00:00,0.711,10.396
2019-01-07 03:00:00,0.774,11.035
2019-01-07 04:00:00,0.862,12.195
2019-01-07 05:00:00,0.936,13.759
2019-01-07 06:00:00,0.945,14.031
2019-01-07 07:00:00,0.963,14.73
2019-01-07 08:00:00,0.982,15.94
2019-01-07 09:00:00,0.988,17.805
2019-01-07 10:00:00,0.984,18.447
2019-01-07 11:00:00,0.979,18.809
2019-01-07 12:00:00,0.966,19.515
2019-01-07 13:00:00,0.94,20.328
2019-01-07 14:00:00,0.876,21.547
2019-01-07 15:00:00,0.792,22.57
2019-01-07 16:00:00,0.725,23.218
2019-01-07 17:00:00,0.668,23.705
2019-01-07 18:00:00,0.66,23.776
2019-01-07 19:00:00,0.698,23.455
2019-01-07 20:00:00,0.768,22.82
2019-01-07 21:00:00,0.834,22.091
2019-01-07 22:00:00,0.891,21.311
2019-01-07 23:00:00,0.935,20.46
2019-01-08 00:00:00,0.958,19.802
2019-01-08 01:00:00,0.971,19.285
2019-01-08 02:00:00,0.979,18.845
2019-01-08 03:00:00,0.984,18.449
2019-01-08 04:00:00,0.988,17.879
2019-01-08 05:00:00,0.989,17.039
2019-01-08 06:00:00,0.984,16.211
2019-01-08 07:00:00,0.979,15.698
2019-01-08 08:00:00,0.971,15.151
2019-01-08 09:00:00,0.969,15.058
2019-01-08 10:00:00,0.968,14.964
2019-01-08 11:00:00,0.968,14.988
2019-01-08 12:00:00,0.972,15.195
2019-01-08 13:00:00,0.975,15.384
2019-01-08 14:00:00,0.973,15.296
2019-01-08 15:00:00,0.969,15.059
2019-01-08 16:00:00,0.963,14.747
2019-01-08 17:00:00,0.959,14.587
2019-01-08 18:00:00,0.955,14.414
