,electricity,wind_speed
2019-01-01 00:00:00,0.951,20.044
2019-01-01 01:00:00,0.962,19.687
2019-01-01 02:00:00,0.971,19.282
2019-01-01 03:00:00,0.983,18.515
2019-01-01 04:00:00,0.988,17.859
2019-01-01 05:00:00,0.989,17.56
2019-01-01 06:00:00,0.988,17.743
2019-01-01 07:00:00,0.987,18.067
2019-01-01 08:00:00,0.985,18.279
2019-01-01 09:00:00,0.983,18.508
2019-01-01 10:00:00,0.979,18.813
2019-01-01 11:00:00,0.975,19.108
2019-01-01 12:00:00,0.972,19.249
2019-01-01 13:00:00,0.973,19.195
2019-01-01 14:00:00,0.978,18.927
2019-01-01 15:00:00,0.984,18.445
2019-01-01 16:00:00,0.988,17.848
2019-01-01 17:00:00,0.989,17.299
2019-01-01 18:00:00,0.988,16.838
2019-01-01 19:00:00,0.986,16.368
2019-01-01 20:00:00,0.983,16.012
2019-01-01 21:00:00,0.979,15.7
2019-01-01 22:00:00,0.973,15.297
2019-01-01 23:00:00,0.964,14.775
2019-01-02 00:00:00,0.948,14.158
2019-01-02 01:00:00,0.924,13.438
2019-01-02 02:00:00,0.889,12.649
2019-01-02 03:00:00,0.838,11.83
2019-01-02 04:00:00,0.777,11.067
2019-01-02 05:00:00,0.708,10.367
2019-01-02 06:00:00,0.636,9.74
2019-01-02 07:00:00,0.581,9.313
2019-01-02 08:00:00,0.548,9.054
2019-01-02 09:00:00,0.528,8.9
2019-01-02 10:00:00,0.515,8.819
2019-01-02 11:00:00,0.518,8.84
2019-01-02 12:00:00,0.524,8.885
2019-01-02 13:00:00,0.519,8.848
2019-01-02 14:00:00,0.483,8.572
2019-01-02 15:00:00,0.422,8.123
2019-01-02 16:00:00,0.344,7.535
2019-01-02 17:00:00,0.285,7.06
2019-01-02 18:00:00,0.252,6.771
2019-01-02 19:00:00,0.232,6.592
2019-01-02 20:00:00,0.22,6.474
2019-01-02 21:00:00,0.21,6.385
2019-01-02 22:00:00,0.187,6.149
2019-01-02 23:00:00,0.159,5.841
2019-01-03 00:00:00,0.12,5.362
2019-01-03 01:00:00,0.085,4.854
2019-01-03 02:00:00,0.061,4.429
2019-01-03 03:00:00,0.056,4.32
2019-01-03 04:00:00,0.062,4.446
2019-01-03 05:00:00,0.064,4.477
2019-01-03 06:00:00,0.052,4.249
2019-01-03 07:00:00,0.04,3.959
2019-01-03 08:00:00,0.035,3.843
2019-01-03 09:00:00,0.043,4.033
2019-01-03 10:00:00,0.065,4.503
2019-01-03 11:00:00,0.098,5.049
2019-01-03 12:00:00,0.109,5.215
2019-01-03 13:00:00,0.107,5.186
2019-01-03 14:00:00,0.111,5.241
2019-01-03 15:00:00,0.133,5.527
2019-01-03 16:00:00,0.19,6.175
2019-01-03 17:00:00,0.234,6.61
2019-01-03 18:00:00,0.234,6.607
2019-01-03 19:00:00,0.267,6.903
2019-01-03 20:00:00,0.32,7.344
2019-01-03 21:00:00,0.342,7.522
2019-01-03 22:00:00,0.336,7.473
2019-01-03 23:00:00,0.344,7.528
2019-01-04 00:00:00,0.361,7.657
2019-01-04 01:00:00,0.383,7.83
2019-01-04 02:00:00,0.419,8.105
2019-01-04 03:00:00,0.45,8.33
2019-01-04 04:00:00,0.464,8.435
2019-01-04 05:00:00,0.475,8.509
2019-01-04 06:00:00,0.499,8.694
2019-01-04 07:00:00,0.552,9.091
2019-01-04 08:00:00,0.599,9.442
2019-01-04 09:00:00,0.633,9.723
2019-01-04 10:00:00,0.658,9.925
2019-01-04 11:00:00,0.682,10.133
2019-01-04 12:00:00,0.727,10.546
2019-01-04 13:00:00,0.786,11.172
2019-01-04 14:00:00,0.847,11.957
2019-01-04 15:00:00,0.867,12.27
2019-01-04 16:00:00,0.856,12.104
2019-01-04 17:00:00,0.848,11.98
2019-01-04 18:00:00,0.842,11.888
2019-01-04 19:00:00,0.841,11.868
2019-01-04 20:00:00,0.836,11.797
2019-01-04 21:00:00,0.832,11.736
2019-01-04 22:00:00,0.826,11.649
2019-01-04 23:00:00,0.822,11.609
2019-01-05 00:00:00,0.81,11.454
2019-01-05 01:00:00,0.793,11.241
2019-01-05 02:00:00,0.769,10.982
2019-01-05 03:00:00,0.754,10.816
2019-01-05 04:00:00,0.735,10.633
2019-01-05 05:00:00,0.712,10.398
2019-01-05 06:00:00,0.68,10.123
2019-01-05 07:00:00,0.645,9.822
2019-01-05 08:00:00,0.615,9.575
2019-01-05 09:00:00,0.588,9.368
2019-01-05 10:00:00,0.554,9.105
2019-01-05 11:00:00,0.518,8.832
2019-01-05 12:00:00,0.485,8.592
2019-01-05 13:00:00,0.452,8.346
2019-01-05 14:00:00,0.406,8.005
2019-01-05 15:00:00,0.344,7.532
2019-01-05 16:00:00,0.281,7.028
2019-01-05 17:00:00,0.246,6.71
2019-01-05 18:00:00,0.252,6.775
2019-01-05 19:00:00,0.273,6.953
2019-01-05 20:00:00,0.28,7.007
2019-01-05 21:00:00,0.272,6.944
2019-01-05 22:00:00,0.244,6.694
2019-01-05 23:00:00,0.197,6.247
2019-01-06 00:00:00,0.159,5.838
2019-01-06 01:00:00,0.148,5.702
2019-01-06 02:00:00,0.16,5.849
2019-01-06 03:00:00,0.19,6.173
2019-01-06 04:00:00,0.232,6.589
2019-01-06 05:00:00,0.272,6.949
2019-01-06 06:00:00,0.311,7.274
2019-01-06 07:00:00,0.339,7.494
2019-01-06 08:00:00,0.342,7.519
2019-01-06 09:00:00,0.34,7.504
2019-01-06 10:00:00,0.371,7.744
2019-01-06 11:00:00,0.397,7.941
2019-01-06 12:00:00,0.441,8.267
2019-01-06 13:00:00,0.502,8.72
2019-01-06 14:00:00,0.514,8.809
2019-01-06 15:00:00,0.398,7.952
2019-01-06 16:00:00,0.269,6.916
2019-01-06 17:00:00,0.175,6.021
2019-01-06 18:00:00,0.122,5.386
2019-01-06 19:00:00,0.074,4.673
2019-01-06 20:00:00,0.037,3.871
2019-01-06 21:00:00,0.02,3.347
2019-01-06 22:00:00,0.038,3.893
